,Month,State,Total
0,7,Illinois,4
1,7,Florida,4
2,7,Illinois,4
3,7,Minnesota,4
4,7,Ohio,4
5,7,Indiana,10
6,7,Ohio,4
7,7,New York,4
8,7,Louisiana,4
9,7,Illinois,32
10,7,Massachusetts,4
11,7,Illinois,5
12,7,Virginia,6
13,7,Missouri,4
14,7,Wisconsin,5
15,7,California,5
16,7,New York,4
17,7,Colorado,4
18,7,Minnesota,7
19,7,California,5
20,7,Virginia,4
21,7,South Carolina,4
22,7,Arizona,7
23,7,Washington,4
24,7,Texas,7
25,7,North Carolina,6
26,7,New York,4
27,7,Illinois,5
28,7,Illinois,4
29,7,Mississippi,8
30,6,Kentucky,7
31,6,New Jersey,9
32,6,New Jersey,4
33,6,Pennsylvania,4
34,6,Tennessee,4
35,6,Mississippi,4
36,6,North Carolina,5
37,6,New Jersey,5
38,6,Georgia,7
39,6,Texas,4
40,6,Washington,8
41,6,Washington,5
42,6,Virginia,8
43,6,Texas,5
44,6,Minnesota,4
45,6,Texas,4
46,6,New York,4
47,6,Virginia,4
48,6,Texas,4
49,6,Pennsylvania,4
50,6,Illinois,4
51,6,New York,9
52,6,New York,5
53,6,Michigan,4
54,6,Washington D.C.,4
55,6,Michigan,4
56,6,South Carolina,4
57,6,Florida,5
58,6,Florida,5
59,6,Maryl,4
60,6,Texas,7
61,6,Illinois,5
62,6,California,5
63,6,South Carolina,4
64,6,Florida,4
65,6,North Carolina,4
66,6,Colorado,6
67,6,Indiana,6
68,6,Indiana,5
69,6,Michigan,4
70,6,Texas,4
71,6,California,7
72,6,Louisiana,4
73,6,Georgia,7
74,6,Tennessee,4
75,6,Kentucky,5
76,6,Illinois,5
77,6,Michigan,4
78,6,Georgia,4
79,6,Maryl,6
80,6,Arizona,4
81,6,Illinois,4
82,6,Illinois,4
83,6,Virginia,4
84,6,Maryl,4
85,6,Utah,4
86,6,South Carolina,4
87,6,Michigan,5
88,6,Arizona,4
89,6,Tennessee,14
90,6,Michigan,4
91,6,Pennsylvania,14
92,6,Texas,5
93,6,Arizona,9
94,6,South Carolina,8
95,6,Georgia,4
96,6,New York,4
97,6,Nevada,4
98,6,Virginia,6
99,6,Nebraska,4
100,6,West Virginia,4
101,6,Texas,5
102,6,Oklahoma,5
103,5,Texas,4
104,5,Michigan,4
105,5,Michigan,7
106,5,South Carolina,10
107,5,Pennsylvania,4
108,5,Illinois,5
109,5,Oklahoma,8
110,5,Nevada,7
111,5,Arizona,6
112,5,California,4
113,5,Illinois,5
114,5,Texas,4
115,5,Colorado,4
116,5,Tennessee,6
117,5,California,4
118,5,Florida,4
119,5,Tennessee,4
120,5,Michigan,5
