Region,min,max,mean
Africa and Red Sea,-48,4565,1837.3939393939395
Alaska,91,5005,1721.0
Antarctica,-55,3794,1165.0833333333333
Atlantic Ocean,-4200,3715,976.65
Canada and Western USA,-40,4392,2609.8214285714284
Hawaii and Pacific Ocean,-3000,4170,-955.5
Iceland and Arctic Ocean,-3800,2085,888.4090909090909
Indonesia,-5,3800,1941.9746835443038
"Japan, Taiwan, Marianas",-4100,3776,1026.5698924731182
Kamchatka and Mainland Asia,0,5808,2156.275
Kuril Islands,-502,2285,1120.8
Mediterranean and Western Asia,-8,5642,1663.8235294117646
Melanesia and Australia,-1300,2334,871.5
Middle East and Indian Ocean,-650,3500,1510.8823529411766
México and Central America,332,5564,2474.175
New Zealand to Fiji,-1400,2797,362.5
Philippines and SE Asia,-24,2815,1193.0833333333333
South America,150,6879,3633.688888888889
West Indies,-185,1467,981.9166666666666
