Year,Depth
1965,71.18879056047197
1966,58.79829059829059
1967,73.00941176470589
1968,66.63311475409836
1969,61.356346749226
1970,68.06086956521739
1971,68.09831606217617
1972,87.83530927835051
1973,75.40174563591022
1974,68.1994459833795
1975,75.05749514563107
1976,63.75859956236324
1977,71.94823529411765
1978,72.71707317073171
1979,71.78793539325844
1980,64.47858908045977
1981,73.86371651090343
1982,74.06011560693642
1983,72.88459602649007
1984,93.02716390041493
1985,74.76970588235294
1986,75.45004329896908
1987,73.65982178217821
1988,75.80224948875257
1989,70.36607083333334
1990,82.14108901515152
1991,77.70680885780885
1992,71.41206754221388
1993,74.16179613733905
1994,81.9175255905512
1995,74.22793570219966
1996,72.3627707948244
1997,74.48705921052633
1998,76.95824742268042
1999,72.5312130044843
2000,85.05389330922242
2001,66.27625056433409
2002,96.16893468468469
2003,69.70456907216494
2004,62.57081611208407
2005,57.32138836772983
2006,71.91712598425197
2007,60.22467105263158
2008,61.17893700787402
2009,68.95274854932302
2010,62.926319642857145
2011,61.97955119214586
2012,57.78494382022472
2013,58.435266811279824
2014,55.9510625
2015,63.538206278026905
2016,62.109183368869935
