,align,choice,time,coherence,firing_rate
0,dots,T1,-80,0.0,33.1899674031
1,dots,T1,-80,3.2,31.6917255152
2,dots,T1,-80,6.4,34.2798399644
3,dots,T1,-80,12.8,32.6318742985
4,dots,T1,-80,25.6,35.0604874577
5,dots,T1,-80,51.2,34.9875710227
6,dots,T1,-60,0.0,32.8685258964
7,dots,T1,-60,3.2,35.119047619
8,dots,T1,-60,6.4,34.8410757946
9,dots,T1,-60,12.8,35.6481481481
10,dots,T1,-60,25.6,33.6105675147
11,dots,T1,-60,51.2,34.27734375
12,dots,T1,-40,0.0,34.561752988
13,dots,T1,-40,3.2,34.8958333333
14,dots,T1,-40,6.4,34.9633251834
15,dots,T1,-40,12.8,36.4711934156
16,dots,T1,-40,25.6,32.5342465753
17,dots,T1,-40,51.2,35.009765625
18,dots,T1,-20,0.0,35.3585657371
19,dots,T1,-20,3.2,31.1011904762
20,dots,T1,-20,6.4,35.5134474328
21,dots,T1,-20,12.8,34.5164609053
22,dots,T1,-20,25.6,34.7847358121
23,dots,T1,-20,51.2,36.669921875
24,dots,T1,0,0.0,36.2549800797
25,dots,T1,0,3.2,32.3660714286
26,dots,T1,0,6.4,36.9193154034
27,dots,T1,0,12.8,35.6995884774
28,dots,T1,0,25.6,35.8610567515
29,dots,T1,0,51.2,37.060546875
30,dots,T1,20,0.0,38.4960159363
31,dots,T1,20,3.2,33.4821428571
32,dots,T1,20,6.4,36.1858190709
33,dots,T1,20,12.8,36.0082304527
34,dots,T1,20,25.6,34.8825831703
35,dots,T1,20,51.2,35.888671875
36,dots,T1,40,0.0,36.2051792829
37,dots,T1,40,3.2,34.375
38,dots,T1,40,6.4,36.7970660147
39,dots,T1,40,12.8,35.3909465021
40,dots,T1,40,25.6,36.9863013699
41,dots,T1,40,51.2,36.279296875
42,dots,T1,60,0.0,34.7609561753
43,dots,T1,60,3.2,34.6726190476
44,dots,T1,60,6.4,38.2029339853
45,dots,T1,60,12.8,35.6481481481
46,dots,T1,60,25.6,38.0136986301
47,dots,T1,60,51.2,37.79296875
48,dots,T1,80,0.0,36.5537848606
49,dots,T1,80,3.2,32.3660714286
50,dots,T1,80,6.4,35.5745721271
51,dots,T1,80,12.8,33.7448559671
52,dots,T1,80,25.6,35.5675146771
53,dots,T1,80,51.2,37.353515625
54,dots,T1,100,0.0,33.515936255
55,dots,T1,100,3.2,31.5476190476
56,dots,T1,100,6.4,33.0073349633
57,dots,T1,100,12.8,32.2666032773
